,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,lce9v.com,20180324,0,0,0,0,0,0,3,0,4,0,2,1,3,2,0,2,6,10,0,1,1,2,1,3
52,lce9v.com,20180325,5,2,4,4,3,0,0,0,0,0,2,0,0,0,0,2,6,0,1,0,0,0,0,4
53,lce9v.com,20180323,4,0,1,0,0,1,0,0,2,2,2,0,4,4,2,2,2,3,2,0,0,1,0,0
54,lce9v.com,20180322,0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,4,4,2,0,0,0,0,0
55,twowheelcool.com,20180324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,twowheelcool.com,20180325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,unadnet.com.cn,20180322,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
58,wsu.ac.za,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,vnu.edu.vn,20180328,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
60,vnu.edu.vn,20180329,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,vnu.edu.vn,20180327,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
62,vnu.edu.vn,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,vnu.edu.vn,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,vnu.edu.vn,20180324,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,1,0,0,0
65,vnu.edu.vn,20180323,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
66,ow.ly,20180328,1,0,0,0,0,0,2,0,4,5,5,0,1,9,1,4,5,0,3,3,2,3,5,0
67,ow.ly,20180329,1,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ow.ly,20180327,5,0,0,0,0,2,0,0,5,1,4,4,4,6,3,8,0,1,5,2,3,2,3,8
69,ow.ly,20180326,2,0,0,0,1,0,0,2,5,2,1,3,2,0,0,0,4,1,0,4,2,0,1,3
70,ow.ly,20180325,1,1,0,1,0,1,0,0,0,4,3,2,4,4,3,2,3,2,1,1,1,0,2,3
71,ow.ly,20180324,2,1,0,2,0,0,0,2,0,4,6,3,1,3,2,5,0,3,2,1,1,2,4,5
72,ow.ly,20180323,0,3,0,0,2,0,2,3,1,2,6,1,4,1,4,2,0,2,0,2,2,3,2,3
73,ow.ly,20180322,0,0,0,0,0,0,0,0,4,5,2,1,4,3,5,1,1,4,1,4,2,1,4,4
74,890m.com,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,890m.com,20180327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
76,890m.com,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
77,890m.com,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
78,servegame.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,18,0,0,0,0,0,0,0
